label,status,reward_step_mean,reward_step_std,reward_last_episode_mean,reward_last_episode_std,reward_min_step,output1_mae_mean,output2_mae_mean,output1_mae_last_episode,output2_mae_last_episode,u1_lower_sat_frac,u1_upper_sat_frac,u2_lower_sat_frac,u2_upper_sat_frac,gain_fro_norm,bundle_path,plot_dir,poles,poles_arr,pole_mean,pole_max,pole_min,pole_std,u_sat_total
p00_old_aggressive_reference,ok,15.088012834792885,45.39354750952175,18.119167952120023,29.52595483651284,-784.8652992515842,0.003859289187238,0.0135004456237631,0.0028155292902734,0.010517436011953,0.0,0.0,0.0,0.0,6.183280672572816,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Data\observer_pole_sweep_temp\20260428_010057\p00_old_aggressive_reference.pickle,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Results\observer_pole_sweep_temp\20260428_010057\p00_old_aggressive_reference_nominal_none\20260428_011306,"[0.0115, 0.032, 0.035, 0.041, 0.0419, 0.0748, 0.4104]",[0.0115 0.032  0.035  0.041  0.0419 0.0748 0.4104],0.09237142857142856,0.4104,0.0115,0.13099274477494344,0.0
p19_uniform_fast,ok,5.66079194016024,41.38135170184069,8.768545378329428,23.901196579071065,-784.8652992515842,0.0031057123227422,0.0241820475497575,0.0028130169161109,0.0197069478621097,0.0,0.0,0.0,0.0,1.7936999224461565,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Data\observer_pole_sweep_temp\20260428_010057\p19_uniform_fast.pickle,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Results\observer_pole_sweep_temp\20260428_010057\p19_uniform_fast_nominal_none\20260428_051935,"[0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5]",[0.2  0.25 0.3  0.35 0.4  0.45 0.5 ],0.35000000000000003,0.5,0.2,0.1,0.0
p20_uniform_mid,ok,-31.343456827238068,63.70665710548944,-20.12356957441708,32.692246329409606,-784.8652992515842,0.0114772997600364,0.069310520607902,0.0088393898060635,0.0557639155479756,0.0,0.0,0.0,0.0,0.7761430895399595,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Data\observer_pole_sweep_temp\20260428_010057\p20_uniform_mid.pickle,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Results\observer_pole_sweep_temp\20260428_010057\p20_uniform_mid_nominal_none\20260428_053052,"[0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65]",[0.35 0.4  0.45 0.5  0.55 0.6  0.65],0.5,0.65,0.35,0.1,0.0
p29_very_conservative_mixed,ok,-189.30573615571743,669.2967054131765,-187.2627251102115,719.6481454437376,-6200.143548396399,0.0272560242904477,0.1514687343831724,0.0239795385121564,0.1426649786546881,0.0,0.0,0.0,0.0,0.9564127803415556,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Data\observer_pole_sweep_temp\20260428_010057\p29_very_conservative_mixed.pickle,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Results\observer_pole_sweep_temp\20260428_010057\p29_very_conservative_mixed_nominal_none\20260428_072445,"[0.5, 0.56, 0.62, 0.68, 0.74, 0.9, 0.97]",[0.5  0.56 0.62 0.68 0.74 0.9  0.97],0.7100000000000001,0.97,0.5,0.16044580749541928,0.0
p16_slow_physical_b,ok,-518.1204847256464,1724.2624621512598,-507.565306126769,1723.290565114205,-13229.331108991511,0.0525677147834569,0.2103960299721522,0.0520180351544825,0.201104871531144,0.0,0.09625,0.0,0.0875,0.8517458567423185,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Data\observer_pole_sweep_temp\20260428_010057\p16_slow_physical_b.pickle,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Results\observer_pole_sweep_temp\20260428_010057\p16_slow_physical_b_nominal_none\20260428_044234,"[0.5, 0.55, 0.6, 0.65, 0.7, 0.88, 0.94]",[0.5  0.55 0.6  0.65 0.7  0.88 0.94],0.6885714285714286,0.94,0.5,0.1531039396179295,0.18375
p02_fast_soft_offset,ok,-434.9257876945267,1215.0254364158734,-510.29209549036005,1364.589001574386,-9901.723019765535,0.0527015691821132,0.1730243501250517,0.0569127107580327,0.1808064953222685,0.0,0.0,0.0025,0.14125,1.0355949485299667,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Data\observer_pole_sweep_temp\20260428_010057\p02_fast_soft_offset.pickle,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Results\observer_pole_sweep_temp\20260428_010057\p02_fast_soft_offset_nominal_none\20260428_014134,"[0.1, 0.13, 0.16, 0.2, 0.25, 0.65, 0.85]",[0.1  0.13 0.16 0.2  0.25 0.65 0.85],0.33428571428571435,0.85,0.1,0.2719693860322803,0.14375
p03_fast_slow_offset,ok,-840.2555329499032,2801.806360285525,-794.9099586277558,2654.9833103984543,-21139.82186712609,0.0687770138669037,0.1872204583932935,0.0680511172719428,0.1927120472054019,0.0,0.0675,0.0025,0.16,0.7502551601851417,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Data\observer_pole_sweep_temp\20260428_010057\p03_fast_slow_offset.pickle,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Results\observer_pole_sweep_temp\20260428_010057\p03_fast_slow_offset_nominal_none\20260428_015355,"[0.1, 0.15, 0.2, 0.25, 0.3, 0.75, 0.9]",[0.1  0.15 0.2  0.25 0.3  0.75 0.9 ],0.37857142857142856,0.9,0.1,0.29137254363387344,0.23
p28_conservative_mixed,ok,-1085.520810490172,3958.66962730895,-807.2934710146818,2337.7153467505373,-31004.609995091512,0.0744854312474711,0.2408092322351782,0.07360782633486,0.2396981381075585,0.0,0.4275,0.0,0.11125,0.5585545497982417,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Data\observer_pole_sweep_temp\20260428_010057\p28_conservative_mixed.pickle,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Results\observer_pole_sweep_temp\20260428_010057\p28_conservative_mixed_nominal_none\20260428_071336,"[0.4, 0.46, 0.52, 0.58, 0.64, 0.86, 0.95]",[0.4  0.46 0.52 0.58 0.64 0.86 0.95],0.63,0.95,0.4,0.1896613523399761,0.53875
p06_moderate_fast_a,ok,-861.7688785681175,3120.3343991109023,-851.7941042475801,3092.762274973552,-23419.64123883846,0.0665397861570198,0.192720980045212,0.0668561459175642,0.199728471986796,0.0,0.06375,0.0025,0.14875,0.514310117638367,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Data\observer_pole_sweep_temp\20260428_010057\p06_moderate_fast_a.pickle,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Results\observer_pole_sweep_temp\20260428_010057\p06_moderate_fast_a_nominal_none\20260428_023427,"[0.2, 0.25, 0.3, 0.35, 0.4, 0.75, 0.88]",[0.2  0.25 0.3  0.35 0.4  0.75 0.88],0.4471428571428571,0.88,0.2,0.24270583521823202,0.215
p04_fast_polymer_like_offset,ok,-1087.377498285311,3567.1747835983847,-906.3226294083124,2910.396848810945,-26440.46345176257,0.077367042136886,0.1935082298756667,0.0737917505254181,0.1813259934867095,0.0,0.23,0.0,0.16875,0.5684205103393413,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Data\observer_pole_sweep_temp\20260428_010057\p04_fast_polymer_like_offset.pickle,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Results\observer_pole_sweep_temp\20260428_010057\p04_fast_polymer_like_offset_nominal_none\20260428_020748,"[0.12, 0.18, 0.24, 0.3, 0.36, 0.8, 0.93]",[0.12 0.18 0.24 0.3  0.36 0.8  0.93],0.4185714285714286,0.93,0.12,0.29337584725928284,0.39875000000000005
